Country Group,Country,ISO,indicator code,Subject Descriptor,Units,Scale,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Nigeria,NGA,LP,Population,Persons,Millions,201,206,211,217,2012.0,9.081999,8.675277
Emerging Africa ,Rwanda,RWA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,751956,757791,843640,1035452,2012.0,-1.940278,29.873888
Emerging Africa ,Rwanda,RWA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,836,803,853,1005,2012.0,-1.940278,29.873888
Emerging Africa ,Rwanda,RWA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,317,334,329,357,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,RWA,NID_NGDP,Total investment,Percent of GDP,,23,25,26,24,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,RWA,PCPIPCH,"Inflation, average consumer prices",Percent change,,2,8,1,14,2021.0,-1.940278,29.873888
Emerging Africa ,Rwanda,RWA,LP,Population,Persons,Millions,12,13,13,13,2012.0,-1.940278,29.873888
Emerging Africa ,South Africa,ZAF,LP,Population,Persons,Millions,59,60,60,61,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,ZAF,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,95707,93388,103234,109375,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,ZAF,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,6623,5672,6984,6684,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,ZAF,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,7,7,7,7,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,ZAF,NID_NGDP,Total investment,Percent of GDP,,16,13,13,15,2022.0,-30.559482,22.937506
Emerging Africa ,South Africa,ZAF,PCPIPCH,"Inflation, average consumer prices",Percent change,,4,3,5,7,2022.0,-30.559482,22.937506
Emerging Africa ,Zimbabwe,ZWE,NID_NGDP,Total investment,Percent of GDP,,0,0,0,0,,-19.015438,29.154857
Emerging Africa ,Zimbabwe,ZWE,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,14241,90863,205756,777191,2017.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,ZWE,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1747,1771,2323,1991,2017.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,ZWE,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,6,43,88,299,2022.0,-19.015438,29.154857
Emerging Africa ,Zimbabwe,ZWE,PCPIPCH,"Inflation, average consumer prices",Percent change,,255,557,99,193,2022.0,-19.015438,29.154857
