Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Middle East,Iraq,LP,IRQ,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2013 Primary domestic currency: Iraqi dinar Data last updated: 09/2023,39,40,41,42,2013.0,33.223191,43.679291
Emerging Middle East,Somalia,NID_NGDP,SOM,Total investment,Percent of GDP,,,0,0,0,0,,5.152149,46.199616
Emerging Middle East,Somalia,NGDP,SOM,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2022 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2023,9,9,10,10,2022.0,5.152149,46.199616
Emerging Middle East,Somalia,NGDPD,SOM,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9,9,10,10,2022.0,5.152149,46.199616
Emerging Middle East,Somalia,PPPEX,SOM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0,5.152149,46.199616
Emerging Middle East,Somalia,PCPIPCH,SOM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,4,5,7,2022.0,5.152149,46.199616
Emerging Middle East,Somalia,LP,SOM,Population,Persons,Millions,Source: UNFPA Latest actual data: 2013 Primary domestic currency: US dollar Data last updated: 09/2023,14,15,15,16,2013.0,5.152149,46.199616
Emerging Asia,Papua New Guinea,NID_NGDP,PNG,Total investment,Percent of GDP,,,0,0,0,0,,-6.314993,143.95555
Emerging Asia,Papua New Guinea,NGDP,PNG,"Gross domestic product, current prices",National currency,Billions,Source: National Statistical Office and MOF Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Papua New Guinea kina Data last updated: 09/2023,84,83,92,111,2020.0,-6.314993,143.95555
Emerging Asia,Papua New Guinea,NGDPD,PNG,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25,24,26,32,2020.0,-6.314993,143.95555
Emerging Asia,Papua New Guinea,PPPEX,PNG,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,3,3,2020.0,-6.314993,143.95555
Emerging Asia,Papua New Guinea,PCPIPCH,PNG,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,5,4,5,2022.0,-6.314993,143.95555
Emerging Asia,Papua New Guinea,LP,PNG,Population,Persons,Millions,"Source: Ministry of Finance or Treasury, World Bank, and NSO Latest actual data: 2021 Primary domestic currency: Papua New Guinea kina Data last updated: 09/2023",9,9,12,12,2021.0,-6.314993,143.95555
Emerging Asia,Tonga,NID_NGDP,TON,Total investment,Percent of GDP,,,0,0,0,0,,-21.178986,-175.198242
Emerging Asia,Tonga,NGDP,TON,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank. National Reserve Bank of Tonga Latest actual data: FY2021/22 Notes: Prior to 1994, the data are in fiscal year (FY) reporting basis converted to calendar year by averaging two FYs (e.g. 1990 is the average of 1989/90 and 1990/91), and are further adjusted to produce a smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June Base year: FY2016/17 Chain-weighted: No Primary domestic currency: Tongan pa'anga Data last updated: 08/2023",1,1,1,1,2022.0,-21.178986,-175.198242
Emerging Asia,Tonga,NGDPD,TON,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1,0,0,0,2022.0,-21.178986,-175.198242
Emerging Asia,Tonga,PPPEX,TON,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0,-21.178986,-175.198242
Emerging Asia,Tonga,PCPIPCH,TON,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,0,1,9,2022.0,-21.178986,-175.198242
