Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Middle East,UZB,NGDPD,Uzbekistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60,60,70,80,2022.0
Emerging Middle East,UZB,PPPEX,Uzbekistan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2056,2261,2457,2614,2022.0
Emerging Middle East,UZB,NID_NGDP,Uzbekistan,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022. Latest annual data is 2021. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: No Primary domestic currency: Uzbek som Data last updated: 09/2023,40,38,40,38,2022.0
Emerging Middle East,UZB,PCPIPCH,Uzbekistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15,13,11,11,2022.0
Emerging Middle East,UZB,LP,Uzbekistan,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Uzbek som Data last updated: 09/2023,33,34,35,35,2022.0
Emerging Middle East,WBG,NGDP,West Bank and Gaza,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. National accounts are reported in USD, although NIS is the most commonly used currency and the most common means of transaction. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Israeli new shekel Data last updated: 09/2023",61,53,58,62,2022.0
Emerging Middle East,WBG,NGDPD,West Bank and Gaza,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",17,16,18,0,2022.0
Emerging Middle East,WBG,PPPEX,West Bank and Gaza,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Asia,BRN,PPPEX,Brunei Darussalam,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Middle East,WBG,NID_NGDP,West Bank and Gaza,Total investment,Percent of GDP,,"Source: National Statistics Office. National accounts are reported in USD, although NIS is the most commonly used currency and the most common means of transaction. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Israeli new shekel Data last updated: 09/2023",27,24,25,27,2022.0
Emerging Middle East,WBG,PCPIPCH,West Bank and Gaza,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,-1,1,4,2022.0
Emerging Middle East,WBG,LP,West Bank and Gaza,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Israeli new shekel Data last updated: 09/2023,5,5,5,5,2022.0
Emerging Middle East,YEM,NGDP,Yemen,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2022 Notes: GDP in current prices in U.S. dollars is calculated by using the market exchange rate since 2015, whereas in prior years, the official exchange rate has been used. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Yemeni rial Data last updated: 09/2023",12606,15023,19946,26240,2022.0
Emerging Middle East,YEM,NGDPD,Yemen,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22,20,19,24,2022.0
Emerging Middle East,YEM,PPPEX,Yemen,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",194,249,319,387,2022.0
Emerging Middle East,YEM,NID_NGDP,Yemen,Total investment,Percent of GDP,,"Source: IMF Staff Estimates Latest actual data: 2022 Notes: GDP in current prices in U.S. dollars is calculated by using the market exchange rate since 2015, whereas in prior years, the official exchange rate has been used. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Yemeni rial Data last updated: 09/2023",6,6,6,5,2022.0
Emerging Asia,BGD,NGDP,Bangladesh,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2015/16. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2023,29514,31705,35302,39717,2022.0
Emerging Asia,BGD,NGDPD,Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",351,374,416,460,2022.0
Emerging Asia,BGD,PPPEX,Bangladesh,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",31,32,32,31,2022.0
Emerging Asia,BGD,NID_NGDP,Bangladesh,Total investment,Percent of GDP,,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2015/16. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2023,32,31,31,32,2022.0
Emerging Asia,BGD,LP,Bangladesh,Population,Persons,Millions,Source: International Financial Institution Latest actual data: FY2019/20 Primary domestic currency: Bangladesh taka Data last updated: 09/2023,163,165,167,169,2020.0
Emerging Asia,BTN,NGDP,Bhutan,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No Start/end months of reporting year: July/June Base year: FY1999/2000 Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2023,173,175,180,200,2021.0
Emerging Asia,BTN,NGDPD,Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,3,2021.0
Emerging Asia,BTN,PPPEX,Bhutan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",19,20,20,20,2021.0
Emerging Asia,BTN,NID_NGDP,Bhutan,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No Start/end months of reporting year: July/June Base year: FY1999/2000 Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2023,43,37,27,40,2021.0
Emerging Asia,BTN,PCPIPCH,Bhutan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,3,8,6,2022.0
Emerging Asia,BTN,LP,Bhutan,Population,Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: FY2020/21 Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2023,1,1,1,1,2021.0
Emerging Asia,BRN,NGDP,Brunei Darussalam,"Gross domestic product, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2022. None National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010. There is a methodological break in the national accounts series beginning in 2010 when the GDP series were revised to incorporate the latest data from the Household Expenditure Survey 2010/11, the Economic Census 2011 and the Population and Housing Census 2011. Data prior to 2010 are based on the 2000 base year. Chain-weighted: No Primary domestic currency: Brunei dollar Data last updated: 09/2023",18,17,19,23,2022.0
Emerging Asia,BRN,NGDPD,Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13,12,14,17,2022.0
Emerging Asia,BRN,NID_NGDP,Brunei Darussalam,Total investment,Percent of GDP,,"Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2022. None National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010. There is a methodological break in the national accounts series beginning in 2010 when the GDP series were revised to incorporate the latest data from the Household Expenditure Survey 2010/11, the Economic Census 2011 and the Population and Housing Census 2011. Data prior to 2010 are based on the 2000 base year. Chain-weighted: No Primary domestic currency: Brunei dollar Data last updated: 09/2023",39,41,31,26,2022.0
Emerging Asia,BRN,PCPIPCH,Brunei Darussalam,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,2,2,4,2022.0
Emerging Asia,BRN,LP,Brunei Darussalam,Population,Persons,Millions,Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2021 Primary domestic currency: Brunei dollar Data last updated: 09/2023,0,0,0,0,2021.0
Emerging Asia,KHM,NGDP,Cambodia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2023,110014,105892,110506,121030,2022.0
Emerging Asia,KHM,NGDPD,Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27,26,27,29,2022.0
Emerging Asia,KHM,PPPEX,Cambodia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1459,1430,1386,1348,2022.0
Emerging Asia,KHM,NID_NGDP,Cambodia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2023,24,25,24,25,2022.0
Emerging Asia,KHM,PCPIPCH,Cambodia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,3,3,5,2022.0
Emerging Asia,KHM,LP,Cambodia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Cambodian riel Data last updated: 09/2023,16,16,16,16,2021.0
Emerging Asia,CHN,NGDP,China,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 09/2023,99071,102563,114528,120502,2022.0
Emerging Asia,CHN,NGDPD,China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14341,14863,17759,17886,2022.0
Emerging Asia,CHN,PPPEX,China,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",4,4,4,4,2022.0
Emerging Asia,CHN,NID_NGDP,China,Total investment,Percent of GDP,,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 09/2023,43,43,43,43,2022.0
Emerging Asia,CHN,PCPIPCH,China,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,1,2,2022.0
Emerging Asia,CHN,LP,China,Population,Persons,Millions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2022 Primary domestic currency: Chinese yuan Data last updated: 09/2023,1410,1412,1413,1412,2022.0
Emerging Asia,KIR,LP,Kiribati,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Australian dollar Data last updated: 08/2023,0,0,0,0,2020.0
Emerging Asia,FJI,NGDP,Fiji,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2023,12,10,9,11,2022.0
Emerging Asia,FJI,NGDPD,Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5,4,4,5,2022.0
Emerging Asia,FJI,PPPEX,Fiji,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Asia,FJI,NID_NGDP,Fiji,Total investment,Percent of GDP,,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2023,20,19,20,20,2022.0
Emerging Asia,FJI,PCPIPCH,Fiji,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,-3,0,4,2022.0
Emerging Asia,FJI,LP,Fiji,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Fijian dollar Data last updated: 09/2023,1,1,1,1,2020.0
Emerging Asia,WSM,LP,Samoa,Population,Persons,Millions,Source: Asian Development Bank; Samoa Bureau of Statistics. Latest actual data: 2021 Primary domestic currency: Samoan tala Data last updated: 08/2023,0,0,0,0,2021.0
Emerging Asia,IND,NGDP,India,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: FY2022/23. Latest quarterly data is as of June 2023 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal data are mapped to calendar year as follows: FY(t/t+1) = CY(t). Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 09/2023",201036,198299,234710,272407,2023.0
Emerging Asia,IND,NGDPD,India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2836,2672,3150,3390,2023.0
Emerging Asia,IND,PPPEX,India,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",21,22,23,23,2023.0
Emerging Asia,IND,NID_NGDP,India,Total investment,Percent of GDP,,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: FY2022/23. Latest quarterly data is as of June 2023 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal data are mapped to calendar year as follows: FY(t/t+1) = CY(t). Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 09/2023",30,29,31,31,2023.0
Emerging Asia,IND,PCPIPCH,India,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,6,6,7,2023.0
Emerging Asia,MMR,NGDPD,Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69,81,65,66,2020.0
Emerging Asia,IDN,NGDP,Indonesia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Indonesian rupiah Data last updated: 09/2023,15832657,15443353,16976691,19588446,2022.0
Emerging Asia,IDN,NGDPD,Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1119,1063,1188,1319,2022.0
Emerging Asia,IDN,PPPEX,Indonesia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",4751,4671,4739,4852,2022.0
Emerging Asia,IDN,NID_NGDP,Indonesia,Total investment,Percent of GDP,,Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Indonesian rupiah Data last updated: 09/2023,34,32,31,30,2022.0
Emerging Asia,IDN,PCPIPCH,Indonesia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,2,4,2022.0
Emerging Asia,IDN,LP,Indonesia,Population,Persons,Millions,Source: BPS (Statistics Indonesia) and staff estimates. Latest actual data: 2022 Primary domestic currency: Indonesian rupiah Data last updated: 09/2023,267,270,272,275,2022.0
Emerging Asia,KIR,NGDP,Kiribati,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2023,0,0,0,0,2021.0
Emerging Asia,KIR,NGDPD,Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2021.0
Emerging Asia,KIR,PPPEX,Kiribati,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2021.0
Emerging Asia,KIR,PCPIPCH,Kiribati,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-2,3,2,5,2022.0
Emerging Asia,LAO,NGDP,Lao P.D.R.,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Lao kip Data last updated: 07/2023,163080,167669,180751,217350,2020.0
Emerging Asia,LAO,NGDPD,Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19,19,19,15,2020.0
Emerging Asia,LAO,PPPEX,Lao P.D.R.,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2788,2842,2873,3157,2020.0
Emerging Asia,LAO,PCPIPCH,Lao P.D.R.,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,5,4,23,2022.0
Emerging Asia,LAO,LP,Lao P.D.R.,Population,Persons,Millions,Source: International Financial Institution. World Bank Latest actual data: 2020 Primary domestic currency: Lao kip Data last updated: 07/2023,7,7,7,7,2020.0
Emerging Asia,TLS,NID_NGDP,Timor-Leste,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 08/2023,27,17,14,51,2021.0
Emerging Asia,TLS,PCPIPCH,Timor-Leste,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,0,4,7,2021.0
Emerging Asia,MYS,NGDP,Malaysia,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2022 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2023",1513,1418,1549,1791,2022.0
Emerging Asia,MYS,NGDPD,Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",365,337,374,407,2022.0
Emerging Asia,MYS,PPPEX,Malaysia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Asia,MYS,NID_NGDP,Malaysia,Total investment,Percent of GDP,,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2022 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2023",21,20,22,24,2022.0
Emerging Asia,MYS,PCPIPCH,Malaysia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-1,2,3,2022.0
Emerging Asia,MYS,LP,Malaysia,Population,Persons,Millions,Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2022 Primary domestic currency: Malaysian ringgit Data last updated: 09/2023,33,32,33,33,2022.0
Emerging Asia,MDV,NGDP,Maldives,"Gross domestic product, current prices",National currency,Billions,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Production-based measure. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 08/2023,86,58,83,96,2022.0
Emerging Asia,MDV,NGDPD,Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6,4,5,6,2022.0
Emerging Asia,MDV,PPPEX,Maldives,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",8,8,8,7,2022.0
Emerging Asia,MDV,NID_NGDP,Maldives,Total investment,Percent of GDP,,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Production-based measure. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 08/2023,20,20,20,20,2022.0
Emerging Asia,MDV,PCPIPCH,Maldives,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-2,0,3,2022.0
Emerging Asia,MDV,LP,Maldives,Population,Persons,Millions,Source: Department of National Planning. Latest actual data: 2014 Primary domestic currency: Maldivian rufiyaa Data last updated: 08/2023,0,0,0,0,2014.0
Emerging Asia,MHL,NGDP,Marshall Islands,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September. Fiscal year starts on October 1 and ends September 30. Base year: FY2014/15 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 08/2023,0,0,0,0,2022.0
Emerging Asia,MHL,NGDPD,Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0
Emerging Asia,MHL,PPPEX,Marshall Islands,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Asia,MHL,NID_NGDP,Marshall Islands,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,MHL,PCPIPCH,Marshall Islands,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,-1,2,3,2022.0
Emerging Asia,MHL,LP,Marshall Islands,Population,Persons,Millions,Source: National Statistics Office Latest actual data: FY2021/22 Primary domestic currency: US dollar Data last updated: 08/2023,0,0,0,0,2022.0
Emerging Asia,NRU,LP,Nauru,Population,Persons,Millions,"Source: Nauru Bureau of Statistics, Secretariat of the Pacific Community, IMF staff estimates Latest actual data: FY2019/20 Primary domestic currency: Australian dollar Data last updated: 09/2023",0,0,0,0,2020.0
Emerging Asia,FSM,NGDP,Micronesia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2017/18 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September Base year: FY2003/04 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2023,0,0,0,0,2018.0
Emerging Asia,FSM,NGDPD,Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2018.0
Emerging Asia,FSM,PPPEX,Micronesia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2018.0
Emerging Asia,FSM,NID_NGDP,Micronesia,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Asia,FSM,PCPIPCH,Micronesia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,2,5,2022.0
Emerging Asia,FSM,LP,Micronesia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: FY2017/18 Primary domestic currency: US dollar Data last updated: 09/2023,0,0,0,0,2018.0
Emerging Asia,MNG,NGDP,Mongolia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2022 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 08/2023,37839,37453,43555,53852,2022.0
Emerging Asia,MNG,NGDPD,Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14,13,15,17,2022.0
Emerging Asia,MNG,PPPEX,Mongolia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",901,923,1010,1112,2022.0
