Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,COG,PPPEX,Republic of Congo,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",344,292,311,335,2020.0
Emerging Africa ,GHA,LP,Ghana,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Notes: Data cannot be confirmed by national sources at this time. Primary domestic currency: Ghanaian cedi Data last updated: 09/2023,30,31,31,32,2022.0
Emerging Africa ,COG,NID_NGDP,Republic of Congo,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,26,24,22,26,2020.0
Emerging Africa ,COG,PCPIPCH,Republic of Congo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,1,2,3,2021.0
Emerging Africa ,COG,LP,Republic of Congo,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: CFA franc Data last updated: 08/2023,5,5,5,5,2020.0
Emerging Africa ,CIV,NGDPPC,CÙte d'Ivoire,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1335706,1344770,1439745,1539283,2015.0
Emerging Africa ,CIV,NGDPDPC,CÙte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2280,2340,2598,2473,2015.0
Emerging Africa ,CIV,PPPEX,CÙte d'Ivoire,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",251,251,247,237,2020.0
Emerging Africa ,CIV,NID_NGDP,CÙte d'Ivoire,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: Yes, from 2015 Primary domestic currency: CFA franc Data last updated: 09/2023",22,20,25,28,2020.0
Emerging Africa ,CIV,PCPIPCH,CÙte d'Ivoire,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,2,4,5,2022.0
Emerging Africa ,CIV,LP,CÙte d'Ivoire,Population,Persons,Millions,Source: International Financial Institution. World Bank Latest actual data: 2015 Notes: Data prior to 1996 are preliminary in light of a pending re-basing operation. Primary domestic currency: CFA franc Data last updated: 09/2023,26,27,28,28,2015.0
Emerging Africa ,GNQ,NGDPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4895487,4049508,4684652,4898941,2015.0
Emerging Africa ,GNQ,NGDPDPC,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8355,7035,8448,7854,2015.0
Emerging Africa ,GNQ,PPPEX,Equatorial Guinea,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",253,225,258,252,2021.0
Emerging Africa ,GNQ,NID_NGDP,Equatorial Guinea,Total investment,Percent of GDP,,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2021 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023",11,5,5,14,2021.0
Emerging Africa ,GNQ,PCPIPCH,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,5,0,5,2022.0
Emerging Africa ,GAB,LP,Gabon,Population,Persons,Millions,Source: National Statistics Office. In close cooperation with World Bank and country authorities. Latest actual data: 2015 Primary domestic currency: CFA franc Data last updated: 09/2023,2,2,2,2,2015.0
